OBJ_Critical= 0.37                                                                
fOBJ  LF0 r0  fINP  VP  PAR1  KP1 PAR2  PAR3  Qmax  Kba Kdes  rE  pEP fpEM  fD  gD  Vg  alpha KD  Yg  Ygsl  Q10 gamma beta  WPA2D tau wdorm VNup_MB KsNH4_MB  KsNO3_MB  Vnit  Vdenit  PAR4
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010703  0.01411386  1.89101535  0.89402303  0.22135033  0.01522892  0.01002839  0.00010006  0.33488725  0.00125718  1.70069683  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010659  0.01416485  1.87849085  0.89604875  0.21137696  0.01512888  0.010034  0.00010006  0.33237342  0.00127574  1.70056117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010787  0.01443955  1.8745359 0.89782954  0.20770467  0.01498673  0.01000226  0.00010006  0.32558862  0.00135952  1.70066625  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010671  0.01411386  1.91008531  0.89402303  0.20659967  0.01522892  0.01004996  0.00010006  0.33410411  0.00125718  1.70056117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001069 0.01400008  1.89342819  0.89638297  0.21649479  0.01515423  0.01002595  0.00010006  0.33391335  0.00112718  1.70060504  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010631  0.01411386  1.88926536  0.89402303  0.21568318  0.01522892  0.01001854  0.00010006  0.33614021  0.00125718  1.70026335  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010728  0.01411386  1.91538817  0.89402303  0.21956298  0.01522892  0.01005359  0.00010006  0.33400872  0.00125718  1.70072029  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.000106  0.01426031  1.89808147  0.89183209  0.2010291 0.01519176  0.01002263  0.00010006  0.33198196  0.00131564  1.70104225  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010609  0.01447346  1.85961948  0.89682155  0.20552889  0.01493476  0.01000439  0.00010006  0.32598139  0.00115698  1.70176621  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010801  0.01411386  1.90992666  0.89402303  0.20364003  0.01522892  0.01003473  0.00010006  0.33275319  0.00125718  1.70056117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
